Index,AARatio,Aedes_aegypti_adultos,Apis_mellifera_hemolinfa,Arabidopsis_thaliana_plantulas,Atlantic_salmon,Bacteroides_fragilis_E44,Bacteroides_fragilis_E44_variacion,Bacteroides_fragilis_EPS,Bacteroides_fragilis_EPS_variacion,Bacteroides_fragilis_glucosa,Bacteroides_fragilis_glucosa_variacion,Bacteroides_fragilis_without_CHO,Bacteroides_fragilis_without_CHO_variacion,Bombyx_mori_meconium_female,Bombyx_mori_meconium_male,Bombyx_mori_whole_body_female,Bombyx_mori_whole_body_male,Chlamydomonas_reinhardtii_137minus,Chlamydomonas_reinhardtii_137plus,Cicer_arietinum_C44,Citrus_sinensis_leaves,Citrus_sinensis_roots,Escherichia_coli_1,Fusarium,Gallus_gallus_plasma,Glycine_max_axes,Glycine_max_cotyledons,Kluveromyces,Mus_musculus_tejido_cerebral,Neurospora_crassa,Neurospora_micelio,Oncorhynchus_mykiss_musculo_blanco_adulto,Potato_1,Potato_2,Rattus_norvegicus_intersticio_musculo_esqueletico,Rattus_norvegicus_musculo_gastrocnemio_medial,Saccharomyces_cerevisiae_0h_with,Saccharomyces_cerevisiae_0h_without,Saccharomyces_cerevisiae_10h_with,Saccharomyces_cerevisiae_10h_without,Saccharomyces_cerevisiae_24h_with,Saccharomyces_cerevisiae_24h_without,Saccharomyces_cerevisiae_2h_with,Saccharomyces_cerevisiae_2h_without,Saccharomyces_cerevisiae_4h_with,Saccharomyces_cerevisiae_4h_without,Saccharomyces_cerevisiae_6h_with,Saccharomyces_cerevisiae_6h_without,Saccharomyces_cerevisiae_8h_with,Saccharomyces_cerevisiae_8h_without,Salmo_salar_plasma,Solanum_tuberosum_H26,Triticum_aestivum_roots,Zea_mays_tallo,Healthy_Human,DM_Human,MetabolicSyndrome_Human,Dyslipidemia_Human,Hypertension_Human
11,Phe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64463785,0.823465571,0.854708551,0.792348202,0.761605534
12,His,2.2336191340848,0.35139277691483156,2.8558730827069323,0.0,0.027660209963683697,0.1787811867953764,0.04882047810086821,0.2372136808622277,0.018805917507898753,0.20010748919908686,0.0,0.0,53.230486378807214,22.26370152725777,4.101418201483284,5.236381081818902,0.11842047107968783,0.3038851464938718,5.102821745378468,0.0,0.0,0.17916415731997185,24.87197633793094,0.07285100881218942,7.085472084247314,5.12896107793326,0.14684759827097935,0.20678473759235957,4.174361052591195,1.1852277183714444,0.0,0.0,0.0,1.6418935587510228,0.6479040755917354,1.4329323065618818,0.6001169489019847,0.0,1.1444090653479708,0.7035853883678442,2.3345208781461824,0.2042951315411012,0.701831686004016,0.7117666138139819,0.5539541066787552,0.17837577510957126,0.6133063323943361,0.23363331598474216,0.0,0.12990515007218312,14.58483412468044,2.1701478283695663,1.660036618298102,0.588623575,0.706008808,0.739950724,0.695746047,0.674551926
13,Ile,0.5175052568195672,0.11670689693198558,0.9278439142191899,0.0,0.35390489275096215,0.8735486108050483,0.4824163985532066,0.40128772274648855,0.4833535978382448,0.10548359186955371,0.7209268061496663,0.45829021943019965,1.1400105477927656,1.615014942706418,0.12811632733475484,0.19487359791329328,0.2801506641149313,0.47927313614739003,2.735622970013099,0.0,0.0,0.21411467642098148,0.0,0.2932314565132436,1.1135382159101823,3.418757680425999,6.58608608873599E-4,0.043615585987106124,0.6792905187152412,0.38526018692721403,0.0,0.0,0.0,0.2663053311960873,0.0982623948022991,1.0131301134995303,0.48264392906991516,0.0,0.3800219640849498,1.6191158408700113,1.8957223085289292,0.6029381606314138,0.34708292242089006,0.35212161735466235,0.29322323477246026,0.18730651493529626,0.24207964731214743,0.20179463730142366,0.0,0.33970424022070983,9.16962419795369,3.5454824416050874,3.1098969777384524,0.260587315,0.383668345,0.404739134,0.370627856,0.33169202
14,Lys,0.4647510068659363,0.1503784192650398,2.013626390430791,0.0,0.70020592480767,0.8211364398895655,0.8095942649174082,0.69810322444941,0.33261737235649347,0.3273380708666875,0.8718635753658689,0.7322054095276715,0.0,0.0,0.09997662618512626,0.21084467692763426,0.9129980820264654,3.0014680919340764,1.103709547702654,0.20537212749397807,0.4364157709247034,3.016051138597146,2.8626059198773524,1.3117274299657653,0.5196817007275888,1.5225049826003578,5.457079925099055E-4,0.2590388450357673,0.9520032240778747,1.299063253539031,0.0,0.0,0.0,1.2536021126562014,0.5396522463573487,1.2550865380362413,0.25076142859847433,0.0,1.773553941221186,1.2127341503771043,2.1824511148350734,1.0604007219988674,1.042360006165692,0.6534376296385824,0.9858230888033427,0.4030094388189766,0.9610225079529442,0.3910729760509031,0.0,0.34248592085586876,9.204157490868711,2.2191002506342588,3.0102731091611052,1.039647019,1.31703555,1.341008067,1.260261385,1.209700593
15,Leu,0.5977279305019118,0.03851539859376424,1.1338058101784547,0.0,0.19021083850698445,0.7477533257981684,0.2959665132989957,0.4838726375388174,0.20362320020172983,0.45056676219394315,0.3858747767693594,1.3064468589749185,0.0,0.7422285780677895,0.10455318844172576,0.19763482847958894,0.1561396572336887,0.2967988014424988,0.40693997775538393,0.5338354247633732,0.9758281958040156,0.2547904830681496,6.846996628933292,0.14159337870997052,0.6033119494431911,1.8180159190810445,0.014503206334576222,0.05231018536970957,0.34443670023641065,0.3506904392071835,0.0,0.0,0.0,0.2144335702060165,0.10688484459185343,1.1488767724767799,0.31499978653839766,0.0,0.39401136090268024,0.9356890210968171,0.8545049154893268,0.5917017266891483,0.21279646596661733,0.3258835000932128,0.21362622886120536,0.16610587822070877,0.19804931634007583,0.16818309213653165,0.0,0.39743596284012955,2.670036868224677,1.3978663891201537,1.012067008299736,0.532245573,0.74929829,0.790145009,0.728970804,0.661545161
16,Met,0.6359724192116465,0.025641147085149984,10.952158549615811,0.0,0.14861720419277247,0.0015393977701302901,0.146094524415877,0.10810827592183288,0.037259771958811805,0.09147976499144055,0.1131672517284202,0.5146576699825148,1.27399278134969,0.0,0.20647122757678338,0.5172192915735921,0.0,0.0,28.813490294980298,0.0,0.0,1.6699287998574188,0.0,0.022777186126369597,0.8910601448947426,3.1642760827228074,0.0,0.06616832071033872,0.07820239223548359,1.273956289154582,0.0,0.0,0.0,0.1413135252733321,0.09559444401336147,2.8265130014536464,0.7891688722007333,0.0,0.9222264146066709,2.245049377812431,1.385381619055683,1.4985813158279881,0.7523855780925021,1.015825512948341,0.6048849322637488,0.7241624501242904,0.4682980120751604,0.7373608393692347,0.0,0.5250823047126144,10.922588172636635,0.21942304605028767,0.36761198315475807,0.084278032,0.106048661,0.110369624,0.102113012,0.097943895
17,Thr,0.7536064848218631,0.0,15.876452434135176,0.0,0.023303413393499044,0.1502073340774647,0.056220070520984565,0.21718375863911832,0.17858195818009112,0.8299887229027673,0.0,0.0,1.8268858694131707,1.6441972824718536,0.34167664351527677,0.529328469855611,0.0,0.0,2.995447244156601,0.9097465727189762,0.5948342975470229,0.29841533224039035,15.341895083233592,1.6075228305301643,2.7494815287391132,5.247102154082277,0.046842671612087515,0.7765708534368969,4.776157274338716,0.9927821122773828,0.0,0.0,0.0,0.6248712463345556,1.341001579354888,1.2498496250902198,0.3164993882657405,0.0,1.068185435396874,1.1971043672551176,1.0407960652584927,1.0454580857075788,0.9414515701802956,0.9340412179284294,1.1347024771615146,0.7154052992826991,1.0525343667463705,0.4979429305413552,0.0,0.5006657370917312,7.448745739168983,2.0398555759770676,5.156926423936736,0.622596872,0.745882933,0.756397065,0.706036679,0.705466515
18,Val,0.8021617767102573,0.3831182723540162,1.567157039483314,0.0,0.7705767578836211,1.2200084857358269,0.9452132840758578,0.7332272766398904,0.9870114971399819,0.2937525106645205,1.4178405597481398,0.21920941930898483,1.1407102022144087,2.036982503954301,0.2330642126764117,0.3802367340714695,0.1455937101312664,0.6399901292351309,14.867342087907426,0.0,0.0,0.6364296743322597,10.092897230613964,0.2893664854032181,2.034921805281844,4.859823417085703,0.05156676790128892,0.10335871205610254,1.1315367891199186,0.8713598502514164,0.0,0.0,0.0,0.5079697057714992,0.15272291807509125,1.6852594259803753,0.3247894272292562,0.0,0.7675982684226317,1.9571362899418112,1.6382235944860286,1.368261842370058,1.0156550732847078,0.7239782930214932,0.6745626565530706,0.4327407518325286,0.4978914845986949,0.6270171461548008,0.0,0.5168067707035279,14.487256646248234,3.5898873840234984,3.0411803132120734,0.944500002,1.307716757,1.360907127,1.253275668,1.161958311
19,Trp,0.0,0.0,0.0,0.0,0.0,0.0,0.010868637662614353,0.09106962328580107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555219071073576,0.0,0.0,0.0,0.0,1.4689040193925136,0.05213330072112767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9200726565670236,1.213995266,1.478318207,1.610182631,1.519398015,1.412827627
20,Tyr,0.7478461611334059,0.1205942864805397,4.130088037043087,0.0,1.349094642481649,0.7427274221199512,1.435719174367765,1.3562573349334848,1.6952379357030358,0.904101275265376,2.400274903889378,2.0027434631909564,0.0,1.5788316852861186,0.43256003743564475,0.8056089881331732,0.1441896825326739,0.4625161315001807,8.640595532445998,1.2448446278616556,1.3436418205490885,0.0,32.173990902671086,0.2514723347287086,0.8195323775034534,2.9102712269298774,0.009753069876166824,0.13243613831398532,1.49527549820558,0.0,0.016829573752854102,0.0,0.0,0.16020750008633047,0.0812817461234842,1.5651942384262996,0.5244069585154782,0.0,0.9009433502402545,1.1934779055869504,1.5170344157054902,0.7782422416266938,0.3599742681335062,0.4555023237077154,0.3111865468113827,0.2909008646603718,0.36305097127994646,0.2612027026193508,0.0,0.3643021029714318,15.33658126695876,4.677583451694154,5.874616641507088,0.590232331,0.792192524,0.83303937,0.753138717,0.72397023
